keyword,position,page,is_sponsored,brand,matched_sku,asin,title,price,product_url
boat smartwatch,15,1,No,boAt,,B0DZ2PDXLS,boAt,"₹1,499",https://www.amazon.in/boAt-Infinity-Extensive-Battery-Functional/dp/B0DZ2PDXLS/ref=sr_1_12
boat smartwatch,16,1,No,boAt,,B0H2H9368L,boAt,"₹2,099",https://www.amazon.in/boAt-Smartwatch-Brightness-Personalized-Functional/dp/B0H2H9368L/ref=sr_1_13
boat smartwatch,17,1,No,boAt,,B0GX9HWLBF,boAt,"₹1,599",https://www.amazon.in/boAt-Smartwatch-Charging-Functional-Tracking/dp/B0GX9HWLBF/ref=sr_1_14
boat smartwatch,18,1,No,boAt,,B0CF1NTL6M,boAt,"₹1,599",https://www.amazon.in/boAt-Advanced-Bluetooth-Functional-Monitoring/dp/B0CF1NTL6M/ref=sr_1_15
boat smartwatch,19,1,No,boAt,,B0GPDNKWQ3,boAt,"₹1,499",https://www.amazon.in/boAt-Smartwatch-Immersive-Functional-Monitoring/dp/B0GPDNKWQ3/ref=sr_1_16
boat smartwatch,20,1,No,boAt,,B0GPDRBMS6,boAt,"₹1,499",https://www.amazon.in/boAt-Smartwatch-Immersive-Functional-Monitoring/dp/B0GPDRBMS6/ref=sr_1_17
boat smartwatch,21,1,No,boAt,,B0DSFQ2RLV,boAt,"₹2,199",https://www.amazon.in/boAt-smartwatch-Display-Personalized-Functional/dp/B0DSFQ2RLV/ref=sr_1_18
boat smartwatch,22,1,No,boAt,,B0DSFS2LLC,boAt,"₹2,199",https://www.amazon.in/boAt-Ultima-Ember-Smartwatch-Personalized/dp/B0DSFS2LLC/ref=sr_1_19
boat smartwatch,23,1,No,boAt,,B0DMF4LP99,boAt,"₹1,599",https://www.amazon.in/boAt-Wave-Call-Plus-Bilingual/dp/B0DMF4LP99/ref=sr_1_20
boat smartwatch,24,1,No,boAt,,B0F3DKH55N,boAt,"₹1,399",https://www.amazon.in/boAt-Display-Advanced-Functional-Multiple/dp/B0F3DKH55N/ref=sr_1_21
boat smartwatch,25,1,No,boAt,,B0H1J5QHXG,boAt,"₹2,799",https://www.amazon.in/boAt-Smartwatch-Display-Brightness-Premium/dp/B0H1J5QHXG/ref=sr_1_22
boat smartwatch,4,2,Yes,Other: Fire,,B0BF57RN3K,Fire-Boltt,"₹1,199",https://www.amazon.in/dp/B0BF57RN3K
boat smartwatch,6,2,No,boAt,,B0DBLX3R5H,boAt,"₹1,399",https://www.amazon.in/boAt-Storm-Call-Navigation-Activity/dp/B0DBLX3R5H/ref=sr_1_20
boat smartwatch,8,2,Yes,boAt,,B0FLY7TMJD,boAt,"₹4,299",https://www.amazon.in/dp/B0FLY7TMJD
boat smartwatch,9,2,Yes,boAt,,B0GHS5RWPW,boAt,"₹6,999",https://www.amazon.in/dp/B0GHS5RWPW
boat smartwatch,11,2,No,boAt,,B0D83BPRYP,boAt,"₹4,999",https://www.amazon.in/boAt-Wanderer-Restrict-Parental-Controls/dp/B0D83BPRYP/ref=sr_1_24
boat smartwatch,12,2,No,boAt,,B0G4MB69F5,boAt,"₹1,999",https://www.amazon.in/AuraVue-Display-Brightness-Premium-Bluetooth/dp/B0G4MB69F5/ref=sr_1_25
boat smartwatch,13,2,Yes,boAt,,B0F4955HLQ,boAt,"₹3,599",https://www.amazon.in/dp/B0F4955HLQ
boat smartwatch,15,2,No,boAt,,B0DFLNMPK7,boAt,"₹2,799",https://www.amazon.in/boAt-Ultima-Regal-Crystal-Clear-Brightness/dp/B0DFLNMPK7/ref=sr_1_28
boat smartwatch,18,2,Yes,boAt,,B0FBMGK45T,boAt,"₹6,499",https://www.amazon.in/dp/B0FBMGK45T
boat smartwatch,19,2,No,boAt,,B0D4M3NSV9,boAt,"₹3,299",https://www.amazon.in/boAt-Wave-Fortune-Bluetooth-Assistant/dp/B0D4M3NSV9/ref=sr_1_32
boat smartwatch,20,2,No,boAt,,B0FLK54XSP,boAt,"₹1,699",https://www.amazon.in/Discovery-Emergency-Functional-Multiple-Tracking/dp/B0FLK54XSP/ref=sr_1_33
boat smartwatch,21,2,No,boAt,,B0DBLZLKPG,boAt,"₹1,399",https://www.amazon.in/boAt-Navigation-Activity-Tracker-Display/dp/B0DBLZLKPG/ref=sr_1_34
boat smartwatch,22,2,No,boAt,,B0GSQVC7BR,boAt,"₹6,499",https://www.amazon.in/boAt-Smartwatch-Monitoring-Geofencing-Compatible/dp/B0GSQVC7BR/ref=sr_1_35
boat smartwatch,23,2,No,Other: Fire,,B0BF54LXW6,Fire-Boltt,"₹1,299",https://www.amazon.in/Fire-Boltt-Bluetooth-Calling-Assistance-Resolution/dp/B0BF54LXW6/ref=sr_1_36
boat smartwatch,24,2,No,boAt,,B0F493G266,boAt,"₹3,599",https://www.amazon.in/boAt-Auto-Activity-Detection-Advanced-Bluetooth/dp/B0F493G266/ref=sr_1_37
boat smartwatch,25,2,No,boAt,,B0DFYJWSS7,boAt,"₹3,299",https://www.amazon.in/boAt-Display-Emergency-Location-Sharing/dp/B0DFYJWSS7/ref=sr_1_38
boat smartwatch,26,2,No,boAt,,B0GPDP7WQD,boAt,"₹2,799",https://www.amazon.in/boAt-Brightness-Monitoring-Tracking-Smartwatch/dp/B0GPDP7WQD/ref=sr_1_39
boat smartwatch,27,2,No,boAt,,B0GHRVD5LJ,boAt,"₹4,999",https://www.amazon.in/boAt-co-Designed-Brightness-Metallic-smartwatch/dp/B0GHRVD5LJ/ref=sr_1_40
boat smartwatch,28,2,No,boAt,,B0H5QGRDX8,boAt,"₹1,499",https://www.amazon.in/boAt-Metallic-Tracking-Bluetooth-Emergency/dp/B0H5QGRDX8/ref=sr_1_41
noise earbuds,4,1,Yes,Noise,,B0CQJZD55X,"Noise Buds N1 Truly Wireless Earbuds with Chrome Finish, 40H of Playtime, Quad Mic with ENC, Ultra Low Latency Gaming (Up to 40 Ms), Instacharge(10 Min=120 Min), Bluetooth V5.3(Ice Blue)",₹999,https://www.amazon.in/dp/B0CQJZD55X
noise earbuds,5,1,Yes,Noise,,B0G2CD21GR,"Noise Master Buds 2 with Sound by Bose Truly Wireless Earbuds (2026),51dB Adaptive ANC, Hi-Res LHDC Audio,360° Spatial Audio with Head Tracking, 6-mic ENC, Dual Pairing, Fast Charge & BT v6.1 (Aurum)","₹8,999",https://www.amazon.in/dp/B0G2CD21GR
noise earbuds,6,1,No,Noise,,B0CQJWMMG7,"Noise Buds N1 Truly Wireless Earbuds with Chrome Finish, 40H of Playtime, Quad Mic with ENC, Ultra Low Latency Gaming (Up to 40 Ms), Instacharge(10 Min=120 Min), Bluetooth V5.3(Carbon Black)",₹999,https://www.amazon.in/Noise-Launched-Wireless-Playtime-Instacharge/dp/B0CQJWMMG7/ref=sr_1_3
noise earbuds,7,1,No,Noise,,B09Y5MK1KB,"Noise Buds VS104 Truly Wireless Earbuds with 45H of Playtime, Quad Mic with ENC, Instacharge(10 Min=200 Min), 13Mm Driver, Low Latency, BT V5.2 (Mint Green)",₹899,https://www.amazon.in/Noise-Bluetooth-Wireless-30-Hours-Instacharge/dp/B09Y5MK1KB/ref=sr_1_4
noise earbuds,8,1,Yes,Noise,,B0DK979YJ7,"Noise Master Buds, Sound by Bose in-Ear Bluetooth Earbuds, Up to 49dB Adaptive ANC, LHDC 5.0, Immersive Spatial Audio, 44H Playtime with 6 mic ENC, Dual Pairing, IPX5 Ear Buds TWS (Onyx)","₹5,949",https://www.amazon.in/dp/B0DK979YJ7
noise earbuds,9,1,Yes,Noise,,B0DGV6RP7C,"Noise Air Clips Wireless Open Ear Earbuds with Chrome Finish, AirWave™ Technology,Up-to 40H Playtime, Dual Device Pairing, Quad Mic with ENC,12mm Driver,BTv5.4 (Pearl Purple)","₹1,999",https://www.amazon.in/dp/B0DGV6RP7C
noise earbuds,13,1,No,Noise,,B0DS2XNXZB,"Noise Buds VS102 Plus Wireless Earbuds, Bluetooth Earbuds with 70H Playtime, Quad Mic ENC for Clear Calls, 11mm Drivers, Deep Bass, Instacharge, Bluetooth v5.3 (Deep Wine)","₹1,499",https://www.amazon.in/Noise-Wireless-Bluetooth-Playtime-Instacharge/dp/B0DS2XNXZB/ref=sr_1_7
noise earbuds,14,1,No,Noise,,B0GCNML31G,Noise Buds Mini Truly Wireless Earbuds (2026) | Half in-Ear Design | 40H Playtime | Quad Mic ENC for Clear Calls | 13mm Driver | Low Latency Gaming Mode | BT v5.3 | IPX4 Sweat Resistant - Calm Lilac,₹899,https://www.amazon.in/Noise-Wireless-Earbuds-Playtime-Resistant/dp/B0GCNML31G/ref=sr_1_8
noise earbuds,15,1,Yes,Noise,,B0FHW7PX1N,"Noise Newly Launched Buds VS601 in Ear Truly Wireless Earbuds with 50H of Playtime, Transparent Case Lid, Quad Mic ENC, Dual Device Pairing, 10Mm Driver, BT V5.3 (Copper Brown)","₹1,199",https://www.amazon.in/dp/B0FHW7PX1N
noise earbuds,17,1,No,Noise,,B0FZ9T5JBR,"Noise Newly Launch Buds Play Truly Wireless Earbuds with 40H of Playtime, Quad Mic with ENC, Low Latency for Gaming (Up to 50 Ms), 13mm Driver, BT V6.0(Charcoal Black)","₹1,099",https://www.amazon.in/Noise-Wireless-Earbuds-Playtime-Charcoal/dp/B0FZ9T5JBR/ref=sr_1_11
noise earbuds,18,1,No,Noise,,B0GCNNWM13,Noise Buds Mini Truly Wireless Earbuds (2026) | Half in-Ear Design | 40H Playtime | Quad Mic ENC for Clear Calls | 13mm Driver | Low Latency Gaming Mode | BT v5.3 | IPX4 Sweat Resistant - Jet Black,₹899,https://www.amazon.in/Noise-Wireless-Earbuds-Playtime-Resistant/dp/B0GCNNWM13/ref=sr_1_12
noise earbuds,19,1,No,Noise,,B0D4QLT8WG,"Noise Buds N1 Pro Truly Wireless Earbuds with Metallic Finish, ANC(Upto 30Db), 60H of Playtime, Dual Pairing, Instacharge(10 Min=200 Min), BT V5.3(Chrome Black)","₹1,499",https://www.amazon.in/Noise-Wireless-Metallic-Playtime-Instacharge/dp/B0D4QLT8WG/ref=sr_1_13
noise earbuds,20,1,No,Noise,,B09Y5LL6P4,"Noise Buds VS104 Truly Wireless Earbuds with 45H of Playtime, Quad Mic with ENC, Instacharge(10 Min=200 Min), 13Mm Driver, Low Latency, BT V5.2 (Midnight Blue)",₹899,https://www.amazon.in/Noise-Wireless-Bluetooth-30-Hours-Instacharge/dp/B09Y5LL6P4/ref=sr_1_14
noise earbuds,21,1,No,Noise,,B0GCNK81FR,Noise Buds Mini Truly Wireless Earbuds (2026) | Half In-Ear Design | 40H Playtime | Quad Mic ENC for Clear Calls | 13mm Driver | Low Latency Gaming Mode | BT v5.3 | IPX4 Sweat Resistant - Carbon Green,₹899,https://www.amazon.in/Noise-Wireless-Earbuds-Playtime-Resistant/dp/B0GCNK81FR/ref=sr_1_15
noise earbuds,27,1,No,Noise,,B0FHW8KKN9,"Noise Newly Launched Buds VS601 in Ear Truly Wireless Earbuds with 50H of Playtime, Transparent Case Lid, Quad Mic ENC, Dual Device Pairing, 10Mm Driver, BT V5.3 (Graphite Black)","₹1,199",https://www.amazon.in/Noise-Launched-Wireless-Playtime-Transparent/dp/B0FHW8KKN9/ref=sr_1_17
